,week_cases,tot_fit
2021-01-01,155.65301204819278,254.77563189468793
2021-01-02,152.98433734939758,248.56025680792902
2021-01-03,151.15060240963857,242.36450730306842
2021-01-04,148.67590361445784,236.19587276759248
2021-01-05,147.88915662650604,230.0618353458914
2021-01-06,145.9421686746988,223.96984230562776
2021-01-07,148.57831325301206,217.92727848467914
2021-01-08,159.5734939759036,211.94143896608367
2021-01-09,170.5879518072289,206.01950212808467
2021-01-10,174.655421686747,200.1685032148597
2021-01-11,174.76626506024095,194.39530857084046
2021-01-12,172.09036144578315,188.7065906777117
2021-01-13,168.06626506024097,183.10880412823943
2021-01-14,161.43975903614458,177.60816266508166
2021-01-15,154.40963855421685,172.21061740572299
2021-01-16,147.97469879518073,166.92183636672232
2021-01-17,144.90602409638555,161.74718539164985
2021-01-18,141.2710843373494,156.69171057748935
2021-01-19,136.5578313253012,151.7601222840077
2021-01-20,131.0855421686747,146.95678079972643
2021-01-21,126.52289156626506,142.2856837267892
2021-01-22,122.23012048192771,137.7504551353072
2021-01-23,119.19277108433735,133.3543365257918
2021-01-24,117.24457831325302,129.10017962617124
2021-01-25,115.13734939759036,124.99044103773367
2021-01-26,111.8277108433735,121.02717873226909
2021-01-27,108.25301204819277,117.21205039078961
2021-01-28,103.46867469879518,113.54631356260472
2021-01-29,99.3566265060241,110.03082761230718
2021-01-30,96.32409638554216,106.66605741147876
2021-01-31,94.40361445783132,103.45207872173557
2021-02-01,94.03253012048192,100.38858520617755
2021-02-02,91.57831325301204,97.47489699744862
2021-02-03,87.64578313253013,94.70997074251504
2021-02-04,85.1578313253012,92.09241103697205
2021-02-05,82.90602409638554,89.6204831552352
2021-02-06,81.37349397590361,87.29212697738751
2021-02-07,79.33253012048193,85.10497200875852
2021-02-08,76.9289156626506,83.05635338451066
2021-02-09,74.74939759036144,81.14332874860632
2021-02-10,70.75421686746988,79.36269589451298
2021-02-11,67.1710843373494,77.71101105385891
2021-02-12,65.08915662650602,76.18460771895084
2021-02-13,62.563855421686746,74.77961588557865
2021-02-14,60.40963855421687,73.49198160381955
2021-02-15,60.86867469879518,72.3174867265748
2021-02-16,61.19638554216868,71.2517687482756
2021-02-17,61.52168674698795,70.29034062953032
2021-02-18,61.48915662650602,69.42861050739913
2021-02-19,61.25301204819277,68.66190119541277
2021-02-20,62.16626506024097,67.9854693823487
2021-02-21,63.84939759036145,67.39452444407094
2021-02-22,63.52289156626506,66.88424678837873
2021-02-23,63.23012048192771,66.44980565872892
2021-02-24,64.69518072289156,66.08637632884096
2021-02-25,65.78915662650603,65.78915662650603
2021-02-26,,66.3835366619145
2021-02-27,,67.55478374294346
2021-02-28,,68.80110998705601
2021-03-01,,70.12130790316914
2021-03-02,,71.51401423238453
2021-03-03,,72.97771765251476
2021-03-04,,74.51076696555998
2021-03-05,,76.1113797226295
2021-03-06,,77.77765123968975
2021-03-07,,79.5075639567022
2021-03-08,,81.2989970921911
2021-03-09,,83.1497365450465
2021-03-10,,85.05748499541288
2021-03-11,,87.01987215683896
2021-03-12,,89.03446513245167
2021-03-13,,91.0987788287624
2021-03-14,,93.21028638180522
2021-03-15,,95.36642955162715
2021-03-16,,97.56462904269236
2021-03-17,,99.8022947095067
2021-03-18,,102.0768356086985
2021-03-19,,104.3856698609002
2021-03-20,,106.72623428802707
2021-03-21,,109.09599379395016
2021-03-22,,111.49245045906841
2021-03-23,,113.91315232190253
2021-03-24,,116.35570182352397
2021-03-25,,118.81776389339392
2021-03-26,,121.2970736579848
2021-03-27,,123.79144375638819
2021-03-28,,126.29877124994755
2021-03-29,,128.81704411578042
2021-03-30,,131.34434731685718
2021-03-31,,133.87886844406057
2021-04-01,,
2021-04-02,,
2021-04-03,,
2021-04-04,,
2021-04-05,,
2021-04-06,,
2021-04-07,,
2021-04-08,,
2021-04-09,,
2021-04-10,,
