,inz,mutanten,best,t95,b95,t50,b50
2021-01-01,155.65301204819278,1.1378129418355338,158.04393759981465,,,,
2021-01-02,152.98433734939758,1.2200344760572808,157.1748977421766,,,,
2021-01-03,151.15060240963857,1.314983629300619,156.18577750252055,,,,
2021-01-04,148.67590361445784,1.4109367098816963,155.07759454259238,,,,
2021-01-05,147.88915662650604,1.5308347731934964,153.8518244916231,,,,
2021-01-06,145.9421686746988,1.6476446630470483,152.51040055904647,,,,
2021-01-07,148.57831325301206,1.8293281648542516,151.05571010699293,,,,
2021-01-08,159.5734939759036,2.1424451490037146,149.49058814778064,,,,
2021-01-09,170.5879518072289,2.4972715323745187,147.81830776210822,,,,
2021-01-10,174.655421686747,2.7875308818144013,146.04256746479413,,,,
2021-01-11,174.76626506024095,3.040625210009295,144.1674755762816,,,,
2021-01-12,172.09036144578315,3.263415127869378,142.19753168929785,,,,
2021-01-13,168.06626506024097,3.4733183146297733,140.13760535058236,,,,
2021-01-14,161.43975903614458,3.635424276973238,137.99291210704402,,,,
2021-01-15,154.40963855421685,3.7881393697737957,135.76898709364653,,,,
2021-01-16,147.97469879518073,3.954266199187675,133.47165636635756,,,,
2021-01-17,144.90602409638555,4.217011463744607,131.10700620724944,,,,
2021-01-18,141.2710843373494,4.47627766783035,128.68135064997384,,,,
2021-01-19,136.5578313253012,4.71002408991677,126.20119749204748,,,,
2021-01-20,131.0855421686747,4.920312733837831,123.67321307543803,,,,
2021-01-21,126.52289156626506,5.166751663499578,121.10418612861817,,,,
2021-01-22,122.23012048192771,5.428830494764545,118.50099097142913,,,,
2021-01-23,119.19277108433735,5.75593090125295,115.87055038866899,,,,
2021-01-24,117.24457831325302,6.153785119161484,113.21979847926589,,,,
2021-01-25,115.13734939759036,6.565735193302693,110.55564378524558,,,,
2021-01-26,111.8277108433735,6.925550624775619,107.88493299853599,,,,
2021-01-27,108.25301204819277,7.277602150115196,105.21441553411127,,,,
2021-01-28,103.46867469879518,7.547288315254591,102.55070924525062,,,,
2021-01-29,99.3566265060241,7.859347329516266,99.90026754100799,,,,
2021-01-30,96.32409638554216,8.25826039874429,97.26934814763612,,,,
2021-01-31,94.40361445783132,8.76686087333124,94.66398373498615,,,,
2021-02-01,94.03253012048192,9.452654216868568,92.08995460615424,,,,
2021-02-02,91.57831325301204,9.958320269016626,89.55276362422724,,,,
2021-02-03,87.64578313253013,10.301920671688713,87.05761352426146,,,,
2021-02-04,85.31927710843374,10.831316302962701,84.6093867319946,,,,
2021-02-05,83.02409638554217,11.37403428716422,82.2126277836188,,,,
2021-02-06,81.45180722891567,12.030733275635784,79.87152841360677,,,,
2021-02-07,79.42289156626506,12.635637718635953,77.58991535044748,,,,
2021-02-08,76.99638554216868,13.180583063945294,75.37124083354844,,,,
2021-02-09,74.83373493975904,13.768929436857116,73.21857583882718,,,,
2021-02-10,70.86385542168675,13.997937717324143,71.13460597592886,,,,
2021-02-11,67.1722891566265,14.22774380626256,69.12162999683736,,,,
2021-02-12,65.0421686746988,14.753308238343783,67.18156083411542,,,,
2021-02-13,62.591566265060244,15.1835205911412,65.31592906731241,,,,
2021-02-14,60.46987951807229,15.665485169629447,63.52588869836446,,,,
2021-02-15,60.871084337349394,16.815982781439928,63.37700902952404,,,,
2021-02-16,61.202409638554215,18.00188189376778,63.26062193561053,,,,
2021-02-17,61.57831325301205,19.254018798375725,63.180598044577835,,,,
2021-02-18,61.42409638554217,20.382539730194193,63.140670916639834,,,,
2021-02-19,61.28915662650602,21.54706113678562,63.1444181964965,,,,
2021-02-20,62.18433734939759,23.121094324258987,63.19524381090186,,,,
2021-02-21,63.78192771084338,25.03614075849641,63.296361307752306,,,,
2021-02-22,63.63614457831325,26.32201109276373,63.45077842177686,,,,
2021-02-23,63.350602409638554,27.561373517541643,63.661282940539984,,,,
2021-02-24,64.77349397590362,29.58427577810657,63.930429932954546,,,,
2021-02-25,65.88915662650602,31.532750725769787,64.26053039096782,,,,
2021-02-26,66.69759036144578,33.38169675504583,64.65364132364518,,,,
2021-02-27,67.19518072289156,35.103569192490866,65.11155733164048,,,,
2021-02-28,67.31084337349398,36.6335727380292,65.6358036790999,,,,
2021-03-01,67.46746987951808,38.180431146280455,66.22763086948973,,,,
2021-03-02,68.42650602409638,40.18851546364925,66.88801072173447,,,,
2021-03-03,68.44698795180723,41.64406597716702,67.61763393346654,,,,
2021-03-04,69.01084337349397,43.41512720820385,68.41690910917231,,,,
2021-03-05,68.98072289156626,44.79160526626382,69.28596322261414,,,,
2021-03-06,69.6710843373494,46.61284291497875,70.22464347513966,,,,
2021-03-07,70.1433734939759,48.27071702156959,71.23252050438639,,,,
