date,cases
13.01.2021,1981208
14.01.2021,2003895
15.01.2021,2023660
16.01.2021,2038569
17.01.2021,2049955
18.01.2021,2058791
19.01.2021,2071149
20.01.2021,2090009
21.01.2021,2108909
22.01.2021,2125111
23.01.2021,2137499
24.01.2021,2147268
25.01.2021,2154355
26.01.2021,2163966
27.01.2021,2179859
28.01.2021,2194788
29.01.2021,2207577
30.01.2021,2217448
31.01.2021,2225623
01.02.2021,2232402
02.02.2021,2239976
03.02.2021,2252605
04.02.2021,2265603
05.02.2021,2276487
06.02.2021,2285053
07.02.2021,2291544
08.02.2021,2296309
09.02.2021,2302088
10.02.2021,2311422
11.02.2021,2321356
12.02.2021,2330472
13.02.2021,2337004
14.02.2021,2341734
15.02.2021,2346832
16.02.2021,2352886
17.02.2021,2362532
18.02.2021,2372338
19.02.2021,2381342
20.02.2021,2388617
21.02.2021,2394673
22.02.2021,2399650
23.02.2021,2405467
24.02.2021,2416294
25.02.2021,2427026
26.02.2021,2436701
27.02.2021,2444389
28.02.2021,2450541
01.03.2021,2455648
02.03.2021,2462261
03.03.2021,2473105
04.03.2021,2484400
05.03.2021,2494051
06.03.2021,2502312
07.03.2021,2508856
08.03.2021,2513893
09.03.2021,2520583
10.03.2021,2532909
11.03.2021,2546595
12.03.2021,2559340
13.03.2021,2569883
